no peak, 1994, 39881.6, 4, 
no peak, 3981, 39881.6, 7, 
no peak, 5958, 39881.6, 10, 
no peak, 7909, 39881.6, 13, 
no peak, 9847, 39881.6, 16, 
no peak, 11752, 39881.6, 19, 
no peak, 13666, 39881.6, 22, 
no peak, 15595, 39881.6, 25, 
no peak, 17512, 39881.6, 29, 
no peak, 19415, 39881.6, 32, 
no peak, 21286, 39881.6, 35, 
no peak, 23161, 39881.6, 38, 
no peak, 25021, 39881.6, 41, 
no peak, 26895, 39881.6, 44, 
no peak, 28760, 39881.6, 47, 
no peak, 30629, 39881.6, 50, 
no peak, 32475, 39881.6, 53, 
no peak, 34306, 39881.6, 56, 
no peak, 36161, 39881.6, 114, 
no peak, 38014, 39881.6, 118, 
no peak, 39874, 39881.6, 121, 
no peak, 41755, 39881.6, 124, 
no peak, 43642, 39881.6, 127, 
no peak, 45548, 39881.6, 130, 
no peak, 47435, 39881.6, 133, 
no peak, 47337, 39881.6, 136, 
no peak, 47244, 39881.6, 139, 
no peak, 47176, 39881.6, 142, 
no peak, 47141, 39881.6, 146, 
no peak, 47123, 39881.6, 149, 
no peak, 47144, 39881.6, 152, 
peak detected, 47144, 39881.6, 153, 
no peak, 47147, 39881.6, 3, 
no peak, 47134, 39881.6, 6, 
no peak, 47171, 39881.6, 16, 
no peak, 47211, 39881.6, 20, 
no peak, 47273, 39881.6, 23, 
no peak, 47330, 39881.6, 26, 
no peak, 47404, 39881.6, 29, 
no peak, 47472, 39881.6, 32, 
no peak, 47554, 39881.6, 35, 
no peak, 47627, 39881.6, 38, 
no peak, 47712, 39881.6, 41, 
no peak, 47808, 39881.6, 44, 
no peak, 47879, 39881.6, 47, 
no peak, 47954, 39881.6, 50, 
no peak, 48016, 39881.6, 53, 
no peak, 48059, 39881.6, 56, 
no peak, 48093, 39881.6, 60, 
no peak, 48088, 39881.6, 63, 
no peak, 48099, 39881.6, 66, 
no peak, 48100, 39881.6, 69, 
no peak, 48117, 39881.6, 72, 
no peak, 48107, 39881.6, 75, 
no peak, 48086, 39881.6, 78, 
no peak, 48046, 39881.6, 81, 
no peak, 47989, 39881.6, 84, 
no peak, 47945, 39881.6, 87, 
no peak, 47901, 39881.6, 90, 
no peak, 47819, 39881.6, 93, 
no peak, 47760, 39881.6, 97, 
no peak, 47693, 39881.6, 100, 
no peak, 47606, 39881.6, 103, 
no peak, 47509, 39881.6, 106, 
no peak, 47417, 39881.6, 109, 
no peak, 47327, 39881.6, 112, 
no peak, 47233, 39881.6, 115, 
no peak, 47148, 39881.6, 118, 
no peak, 47049, 39881.6, 128, 
no peak, 46951, 39881.6, 132, 
no peak, 46856, 39881.6, 135, 
no peak, 46761, 39881.6, 138, 
no peak, 46652, 39881.6, 141, 
no peak, 46536, 39881.6, 144, 
no peak, 46435, 39881.6, 147, 
no peak, 46332, 39881.6, 150, 
no peak, 46249, 39881.6, 153, 
no peak, 46154, 39881.6, 156, 
no peak, 46058, 39881.6, 159, 
no peak, 45954, 39881.6, 162, 
no peak, 45867, 39881.6, 166, 
no peak, 45796, 39881.6, 169, 
no peak, 45722, 39881.6, 172, 
no peak, 45648, 39881.6, 175, 
no peak, 45586, 39881.6, 178, 
no peak, 45498, 39881.6, 181, 
no peak, 45421, 39881.6, 184, 
no peak, 45354, 39881.6, 187, 
no peak, 45311, 39881.6, 190, 
no peak, 45261, 39881.6, 193, 
no peak, 45223, 39881.6, 196, 
no peak, 45169, 39881.6, 199, 
no peak, 45108, 39881.6, 203, 
no peak, 45056, 39881.6, 206, 
no peak, 45020, 39881.6, 209, 
no peak, 44990, 39881.6, 212, 
no peak, 44954, 39881.6, 215, 
no peak, 44947, 39881.6, 218, 
no peak, 44936, 39881.6, 221, 
no peak, 44924, 39881.6, 224, 
no peak, 44915, 39881.6, 227, 
no peak, 44906, 39881.6, 237, 
no peak, 44881, 39881.6, 241, 
no peak, 44867, 39881.6, 244, 
no peak, 44859, 39881.6, 247, 
no peak, 44866, 39881.6, 250, 
peak detected, 44866, 39881.6, 251, 
no peak, 44871, 39881.6, 2, 
no peak, 44877, 39881.6, 5, 
no peak, 44860, 39881.6, 8, 
no peak, 44845, 39881.6, 11, 
no peak, 44831, 39881.6, 15, 
no peak, 44838, 39881.6, 18, 
no peak, 44867, 39881.6, 21, 
no peak, 44868, 39881.6, 24, 
no peak, 44869, 39881.6, 27, 
no peak, 44843, 39881.6, 30, 
no peak, 44839, 39881.6, 33, 
no peak, 44842, 39881.6, 36, 
no peak, 44871, 39881.6, 39, 
no peak, 44885, 39881.6, 42, 
no peak, 44897, 39881.6, 45, 
no peak, 44896, 39881.6, 48, 
no peak, 44881, 39881.6, 52, 
no peak, 44863, 39881.6, 55, 
no peak, 44878, 39881.6, 58, 
no peak, 44901, 39881.6, 61, 
no peak, 44899, 39881.6, 64, 
no peak, 44910, 39881.6, 67, 
no peak, 44917, 39881.6, 70, 
no peak, 44935, 39881.6, 73, 
no peak, 44932, 39881.6, 76, 
no peak, 44939, 39881.6, 79, 
no peak, 44940, 39881.6, 82, 
no peak, 44968, 39881.6, 85, 
no peak, 44994, 39881.6, 105, 
no peak, 45013, 39881.6, 108, 
no peak, 45012, 39881.6, 111, 
no peak, 44987, 39881.6, 114, 
no peak, 44992, 39881.6, 117, 
no peak, 44998, 39881.6, 120, 
no peak, 45017, 39881.6, 123, 
no peak, 45039, 39881.6, 126, 
no peak, 45052, 39881.6, 130, 
no peak, 45053, 39881.6, 133, 
no peak, 45052, 39881.6, 136, 
no peak, 45053, 39881.6, 139, 
no peak, 45078, 39881.6, 142, 
no peak, 45108, 39881.6, 145, 
no peak, 45140, 39881.6, 148, 
no peak, 45139, 39881.6, 151, 
peak detected, 45139, 39881.6, 152, 
no peak, 45122, 39881.6, 2, 
no peak, 45131, 39881.6, 5, 
no peak, 45145, 39881.6, 8, 
no peak, 45182, 39881.6, 12, 
no peak, 45187, 39881.6, 15, 
no peak, 45193, 39881.6, 18, 
no peak, 45183, 39881.6, 21, 
no peak, 45185, 39881.6, 24, 
no peak, 45186, 39881.6, 27, 
no peak, 45175, 39881.6, 30, 
no peak, 45192, 39881.6, 33, 
no peak, 45203, 39881.6, 36, 
no peak, 45218, 39881.6, 39, 
no peak, 45222, 39881.6, 42, 
no peak, 45229, 39881.6, 45, 
no peak, 45231, 39881.6, 49, 
no peak, 45219, 39881.6, 59, 
no peak, 45207, 39881.6, 62, 
no peak, 45200, 39881.6, 65, 
no peak, 45200, 39881.6, 68, 
no peak, 45199, 39881.6, 71, 
no peak, 45167, 39881.6, 74, 
no peak, 45136, 39881.6, 77, 
no peak, 45110, 39881.6, 81, 
no peak, 45097, 39881.6, 84, 
no peak, 45097, 39881.6, 87, 
no peak, 45082, 39881.6, 90, 
no peak, 45060, 39881.6, 93, 
no peak, 45039, 39881.6, 96, 
no peak, 45013, 39881.6, 99, 
no peak, 44986, 39881.6, 102, 
no peak, 44973, 39881.6, 105, 
no peak, 44948, 39881.6, 108, 
no peak, 44944, 39881.6, 111, 
no peak, 44921, 39881.6, 114, 
no peak, 44873, 39881.6, 117, 
no peak, 44860, 39881.6, 126, 
no peak, 44854, 39881.6, 129, 
no peak, 44851, 39881.6, 133, 
no peak, 44814, 39881.6, 136, 
no peak, 44780, 39881.6, 139, 
no peak, 44748, 39881.6, 142, 
no peak, 44745, 39881.6, 145, 
no peak, 44752, 39881.6, 148, 
no peak, 44751, 39881.6, 151, 
peak detected, 44751, 39881.6, 152, 
no peak, 44740, 39881.6, 2, 
no peak, 44770, 39881.6, 5, 
no peak, 44785, 39881.6, 8, 
no peak, 44834, 39881.6, 12, 
no peak, 44933, 39881.6, 22, 
no peak, 45033, 48722.0, 25, 
no peak, 45158, 48581.2, 28, 
no peak, 45314, 48389.2, 31, 
no peak, 45481, 48414.8, 34, 
no peak, 45707, 48939.6, 37, 
no peak, 45962, 49464.4, 40, 
no peak, 46223, 49810.0, 43, 
no peak, 46512, 50309.2, 47, 
no peak, 46812, 50949.2, 50, 
no peak, 47173, 51807.6, 53, 
no peak, 47589, 52537.2, 56, 
no peak, 48016, 53241.2, 59, 
no peak, 48464, 53638.0, 62, 
no peak, 48933, 54239.6, 65, 
no peak, 49454, 54790.8, 68, 
no peak, 50009, 55558.8, 71, 
no peak, 50609, 56186.0, 74, 
no peak, 51227, 56915.6, 77, 
no peak, 51859, 57594.0, 80, 
no peak, 52502, 57798.8, 83, 
no peak, 53171, 58260.4, 86, 
no peak, 53852, 58759.6, 90, 
no peak, 54579, 59489.2, 93, 
no peak, 55303, 59975.6, 96, 
no peak, 55999, 60526.0, 99, 
no peak, 56701, 60718.0, 102, 
no peak, 57374, 60718.0, 105, 
no peak, 58029, 60974.0, 108, 
no peak, 58672, 61268.4, 111, 
no peak, 59288, 61268.4, 114, 
no peak, 59878, 61268.4, 117, 
no peak, 60451, 61268.4, 120, 
no peak, 60999, 61268.4, 123, 
no peak, 61515, 61268.4, 134, 
no peak, 61988, 61268.4, 137, 
no peak, 62425, 61268.4, 140, 
no peak, 62810, 61268.4, 143, 
no peak, 63164, 61268.4, 146, 
no peak, 63473, 61268.4, 149, 
no peak, 63751, 61268.4, 152, 
no peak, 63983, 61268.4, 155, 
no peak, 64182, 61268.4, 158, 
no peak, 64306, 61268.4, 161, 
no peak, 64371, 61268.4, 165, 
no peak, 64409, 61268.4, 168, 
no peak, 64409, 61268.4, 171, 
no peak, 64379, 61268.4, 174, 
no peak, 64295, 61268.4, 177, 
no peak, 64171, 61268.4, 180, 
no peak, 63982, 61268.4, 183, 
no peak, 63762, 61268.4, 186, 
no peak, 63523, 61268.4, 189, 
no peak, 63264, 61268.4, 192, 
no peak, 62979, 61268.4, 195, 
no peak, 62675, 61268.4, 198, 
no peak, 62351, 61268.4, 202, 
no peak, 62002, 61268.4, 205, 
no peak, 61635, 61268.4, 208, 
no peak, 61259, 61268.4, 211, 
no peak, 60878, 61268.4, 214, 
no peak, 60476, 61268.4, 217, 
no peak, 60080, 61268.4, 220, 
no peak, 59664, 61268.4, 223, 
no peak, 59248, 61268.4, 226, 
no peak, 58815, 61268.4, 229, 
no peak, 58386, 61268.4, 232, 
no peak, 57888, 61268.4, 252, 
no peak, 57413, 61268.4, 255, 
no peak, 56961, 61268.4, 258, 
no peak, 56516, 61268.4, 261, 
no peak, 56063, 61268.4, 264, 
no peak, 55609, 61268.4, 267, 
no peak, 55160, 61268.4, 270, 
no peak, 54731, 61268.4, 273, 
no peak, 54331, 61268.4, 276, 
no peak, 53951, 61268.4, 280, 
no peak, 53555, 61268.4, 283, 
no peak, 53165, 61268.4, 286, 
no peak, 52771, 61268.4, 289, 
no peak, 52401, 61268.4, 292, 
no peak, 52039, 61268.4, 295, 
no peak, 51698, 61268.4, 298, 
no peak, 51359, 61268.4, 301, 
no peak, 51011, 61268.4, 304, 
no peak, 50667, 61268.4, 307, 
no peak, 50336, 61268.4, 310, 
no peak, 50023, 61268.4, 313, 
no peak, 49733, 61268.4, 316, 
no peak, 49441, 61268.4, 320, 
no peak, 49156, 61268.4, 323, 
no peak, 48874, 61268.4, 326, 
no peak, 48648, 61268.4, 329, 
no peak, 48443, 61268.4, 332, 
no peak, 48235, 61268.4, 335, 
no peak, 48037, 61268.4, 338, 
no peak, 47849, 61268.4, 341, 
no peak, 47665, 61268.4, 344, 
no peak, 47488, 61268.4, 347, 
no peak, 47304, 61268.4, 350, 
no peak, 47145, 61268.4, 361, 
no peak, 46965, 61268.4, 364, 
no peak, 46830, 61268.4, 367, 
no peak, 46693, 61268.4, 370, 
no peak, 46583, 61268.4, 373, 
no peak, 46471, 61268.4, 376, 
no peak, 46390, 61268.4, 379, 
no peak, 46288, 61268.4, 382, 
no peak, 46194, 61268.4, 385, 
no peak, 46108, 61268.4, 389, 
no peak, 46042, 61268.4, 392, 
no peak, 46011, 61268.4, 395, 
no peak, 45964, 61268.4, 398, 
no peak, 45931, 61268.4, 401, 
no peak, 45904, 61268.4, 404, 
no peak, 45897, 61268.4, 407, 
no peak, 45902, 61268.4, 410, 
no peak, 45939, 61268.4, 413, 
no peak, 45963, 61268.4, 416, 
no peak, 46012, 61268.4, 419, 
no peak, 46049, 61268.4, 422, 
no peak, 46098, 61268.4, 425, 
no peak, 46141, 61268.4, 429, 
no peak, 46215, 61268.4, 432, 
no peak, 46304, 61268.4, 435, 
no peak, 46375, 61268.4, 438, 
no peak, 46463, 61268.4, 441, 
no peak, 46542, 61268.4, 444, 
no peak, 46630, 61268.4, 447, 
no peak, 46715, 61268.4, 450, 
no peak, 46811, 61268.4, 453, 
no peak, 46892, 61268.4, 456, 
no peak, 46997, 61268.4, 459, 
no peak, 47085, 61268.4, 470, 
no peak, 47194, 61268.4, 473, 
no peak, 47298, 61268.4, 476, 
no peak, 47374, 61268.4, 479, 
no peak, 47438, 61268.4, 482, 
no peak, 47497, 61268.4, 485, 
no peak, 47564, 61268.4, 488, 
no peak, 47623, 61268.4, 491, 
no peak, 47682, 61268.4, 494, 
no peak, 47724, 61268.4, 497, 
no peak, 47762, 61268.4, 500, 
no peak, 47771, 61268.4, 504, 
no peak, 47790, 61268.4, 507, 
no peak, 47812, 61268.4, 510, 
no peak, 47839, 61268.4, 513, 
no peak, 47847, 61268.4, 516, 
no peak, 47847, 61268.4, 519, 
no peak, 47832, 61268.4, 522, 
no peak, 47804, 61268.4, 525, 
no peak, 47762, 61268.4, 528, 
no peak, 47731, 61268.4, 531, 
no peak, 47692, 61268.4, 534, 
no peak, 47632, 61268.4, 537, 
no peak, 47571, 61268.4, 541, 
no peak, 47494, 61268.4, 544, 
no peak, 47435, 61268.4, 547, 
no peak, 47373, 61268.4, 550, 
no peak, 47300, 61268.4, 553, 
no peak, 47218, 61268.4, 556, 
no peak, 47164, 61268.4, 559, 
no peak, 47088, 61268.4, 562, 
no peak, 47010, 61268.4, 565, 
no peak, 46913, 61268.4, 568, 
no peak, 46827, 61268.4, 578, 
no peak, 46725, 61268.4, 582, 
no peak, 46624, 61268.4, 585, 
no peak, 46532, 61268.4, 588, 
no peak, 46447, 61268.4, 591, 
no peak, 46361, 61268.4, 594, 
no peak, 46284, 61268.4, 597, 
no peak, 46201, 61268.4, 600, 
no peak, 46094, 61268.4, 603, 
no peak, 46002, 61268.4, 606, 
no peak, 45930, 61268.4, 609, 
no peak, 45882, 61268.4, 613, 
no peak, 45818, 61268.4, 616, 
no peak, 45772, 61268.4, 619, 
no peak, 45709, 61268.4, 622, 
no peak, 45632, 61268.4, 625, 
no peak, 45578, 61268.4, 628, 
no peak, 45534, 61268.4, 631, 
no peak, 45482, 61268.4, 634, 
no peak, 45428, 61268.4, 637, 
no peak, 45395, 61268.4, 640, 
no peak, 45335, 61268.4, 643, 
no peak, 45298, 61268.4, 646, 
no peak, 45264, 61268.4, 649, 
no peak, 45255, 61268.4, 653, 
no peak, 45231, 61268.4, 656, 
no peak, 45238, 61354.8, 659, 
no peak, 45240, 61415.6, 662, 
no peak, 45231, 61415.6, 665, 
no peak, 45213, 61399.6, 668, 
no peak, 45207, 61399.6, 671, 
no peak, 45206, 61399.6, 674, 
no peak, 45199, 61399.6, 677, 
no peak, 45222, 61399.6, 696, 
no peak, 45251, 61399.6, 700, 
no peak, 45266, 61399.6, 703, 
no peak, 45273, 61399.6, 706, 
no peak, 45272, 61399.6, 709, 
no peak, 45268, 61399.6, 712, 
no peak, 45287, 61399.6, 715, 
no peak, 45325, 61399.6, 718, 
no peak, 45354, 61399.6, 721, 
no peak, 45370, 61399.6, 724, 
no peak, 45384, 61399.6, 727, 
no peak, 45398, 61399.6, 730, 
no peak, 45416, 61399.6, 733, 
no peak, 45454, 61399.6, 737, 
no peak, 45493, 61399.6, 740, 
no peak, 45514, 61399.6, 743, 
no peak, 45529, 61399.6, 746, 
no peak, 45533, 61399.6, 749, 
no peak, 45541, 61399.6, 752, 
no peak, 45566, 61399.6, 755, 
no peak, 45603, 61399.6, 758, 
no peak, 45646, 61399.6, 761, 
no peak, 45664, 61399.6, 764, 
no peak, 45678, 61399.6, 767, 
no peak, 45692, 61399.6, 770, 
no peak, 45708, 61399.6, 773, 
no peak, 45717, 61399.6, 777, 
